study,rows,cols,steps,mode,mpi_procs,omp_threads,time
mpi,15000,15000,50,static,1,1,168.472519
mpi,15000,15000,50,static,2,1,85.114357
mpi,15000,15000,50,static,4,1,42.793980
mpi,15000,15000,50,static,6,1,28.506328
mpi,15000,15000,50,static,8,1,21.341565
mpi,15000,15000,50,static,12,1,14.232961
mpi,15000,15000,50,static,16,1,10.629800
mpi,15000,15000,50,static,20,1,8.505760
mpi,15000,15000,50,static,24,1,7.097266
mpi,10000,10000,50,static,1,1,75.029447
mpi,10000,10000,50,static,2,1,37.716657
mpi,10000,10000,50,static,4,1,18.929338
mpi,10000,10000,50,static,6,1,12.549916
mpi,10000,10000,50,static,12,1,6.236836
mpi,10000,10000,50,static,16,1,4.697905
mpi,10000,10000,50,static,20,1,3.759216
mpi,10000,10000,50,static,24,1,3.144955
mpi,20000,20000,50,static,1,1,302.093343
mpi,20000,20000,50,static,2,1,150.752083
mpi,20000,20000,50,static,4,1,76.120095
mpi,20000,20000,50,static,6,1,50.628300
mpi,20000,20000,50,static,8,1,37.768230
mpi,20000,20000,50,static,12,1,25.334675
mpi,20000,20000,50,static,16,1,19.115422
mpi,20000,20000,50,static,20,1,15.242541
mpi,20000,20000,50,static,24,1,12.690809
